ds,yhat,yhat_lower,yhat_upper,y
2025-01-06,1553.3786988840259,1185.3111701803698,1916.795033703203,1545.5
2025-01-07,1205.7095876628866,841.3665988957534,1589.7435997047717,1192.2
2025-01-08,970.0578875057216,610.0474086999008,1332.2515837587885,958.32
2025-01-09,974.3876603479686,589.4704224366365,1341.5578314587915,969.2
2025-01-10,1543.8224654951223,1177.0337084869202,1923.8305917075202,1543.4
2025-01-11,1200.0594419984811,844.97684632118,1572.7012872199352,1199.4
2025-01-12,1136.1122615241056,755.6641208836214,1485.6430941418844,1131.8
2025-01-13,1484.055962674027,1106.2947382631876,1855.848997553047,1482.6100000000001
2025-01-14,646.55553144744,234.87446557770485,1018.8361252725807,644.16
2025-01-15,380.09425974095774,-19.988791651424894,758.7549635598134,209.56
2025-01-16,643.5077784377901,285.45708501353465,998.100201379575,601.32
2025-01-17,1037.326276560569,645.5542114818378,1428.6137599748242,498.2
2025-01-18,260.6220343140643,-94.4437556726767,625.1176683015655,367.8
2025-01-19,1385.4202687879333,1009.8339889374388,1749.4219337052798,1130.2
2025-01-20,1301.719592411809,917.9589784987941,1708.4888511503173,1238.44
2025-01-21,1305.4279353092675,948.7055015623349,1669.4668442844368,2025.0
2025-01-22,1132.4959363084242,782.3654654213959,1495.555925023814,1061.12
2025-01-23,1700.5508351235517,1340.79201346726,2066.294890349131,1462.84
2025-01-24,2500.7822859332427,2145.042827633518,2895.604249322899,3435.48
2025-01-25,1410.3347632893733,1038.1498651772472,1788.6420734435774,1521.3600000000001
2025-01-26,2108.1615007180194,1744.448685993441,2482.9073992332997,2090.2
2025-01-27,1996.7630834312547,1622.8812314637096,2342.815612300322,1850.12
2025-01-28,2523.6193808791068,2112.0555908347274,2913.116146237591,2172.2
2025-01-29,2297.3397344500404,1918.7977451382399,2671.9971000063374,2369.76
2025-01-30,2092.5947246710325,1681.427423539066,2458.9623904044993,2072.6
2025-01-31,2439.3002463699618,2077.660984750514,2822.5020216124285,2166.24
2025-02-01,2359.618426388998,2008.9657956198394,2720.3936193805157,2446.32
2025-02-02,3306.630534684991,2927.32498734486,3668.472278569641,3196.12
2025-02-03,2661.513700695874,2290.7436699518144,3046.885446685236,2416.2
2025-02-04,2830.2120531024916,2453.2106892430115,3216.5561409987267,3219.8
2025-02-05,3510.5232192762874,3165.880359937868,3882.5422209904073,3219.88
2025-02-06,4199.165107835339,3814.8816366098335,4554.433781429212,3923.31
2025-02-07,5334.9204021844635,4963.396599192625,5737.535910941912,6286.5599999999995
2025-02-08,3533.4325911547276,3146.8448958100666,3927.9415802967414,2859.8
2025-02-09,3054.50234225731,2666.3200000744596,3428.8182347434645,3121.4
2025-02-10,2132.6315481422175,1760.3300722345355,2494.5439033529547,2463.14
2025-02-11,2649.240320811448,2307.7682974620234,3029.578523991649,2277.0
2025-02-12,2567.4956707438673,2208.874383820547,2931.561255604657,2821.4
