ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-09-19,992.2210488391306,926.1702924603923,2083.4531987290407,992.2210488391306,992.2210488391306,531.3355501693757,531.3355501693757,531.3355501693757,91.61504472959999,91.61504472959999,91.61504472959999,-5.751724621506024,-5.751724621506024,-5.751724621506024,445.47223006128195,445.47223006128195,445.47223006128195,0.0,0.0,0.0,1523.5565990085063
2024-09-20,993.2156137635142,949.0758749220182,2079.987314023875,993.2156137635142,993.2156137635142,531.0829181312815,531.0829181312815,531.0829181312815,91.61504472959999,91.61504472959999,91.61504472959999,28.04559573629793,28.04559573629793,28.04559573629793,411.4222776653838,411.4222776653838,411.4222776653838,0.0,0.0,0.0,1524.2985318947958
2024-09-21,994.2101786878978,876.8321921998474,2006.3100143540528,994.2101786878978,994.2101786878978,418.4762423487429,418.4762423487429,418.4762423487429,91.61504472959999,91.61504472959999,91.61504472959999,-52.23305297272012,-52.23305297272012,-52.23305297272012,379.0942505918631,379.0942505918631,379.0942505918631,0.0,0.0,0.0,1412.6864210366407
2024-09-22,995.2047436122815,1038.9191552242842,2120.165425847521,995.2047436122815,995.2047436122815,598.6058471311276,598.6058471311276,598.6058471311276,91.61504472959999,91.61504472959999,91.61504472959999,157.98995767660455,157.98995767660455,157.98995767660455,349.00084472492307,349.00084472492307,349.00084472492307,0.0,0.0,0.0,1593.8105907434092
2024-09-23,996.1993085366651,791.7980473909167,1953.2154382470505,996.1993085366651,996.1993085366651,411.2911013007125,411.2911013007125,411.2911013007125,91.61504472959999,91.61504472959999,91.61504472959999,-1.920762163493289,-1.920762163493289,-1.920762163493289,321.5968187346058,321.5968187346058,321.5968187346058,0.0,0.0,0.0,1407.4904098373777
2024-09-24,997.1938734610487,795.9303922783039,1913.101705854815,997.1938734610487,997.1938734610487,364.92531748144427,364.92531748144427,364.92531748144427,91.61504472959999,91.61504472959999,91.61504472959999,-23.955784100755647,-23.955784100755647,-23.955784100755647,297.2660568525999,297.2660568525999,297.2660568525999,0.0,0.0,0.0,1362.1191909424929
2024-09-25,998.1884383854323,741.2290386324077,1853.4952323892874,998.1884383854323,998.1884383854323,265.7509001031009,265.7509001031009,265.7509001031009,91.61504472959999,91.61504472959999,91.61504472959999,-102.17422955424692,-102.17422955424692,-102.17422955424692,276.3100849277478,276.3100849277478,276.3100849277478,0.0,0.0,0.0,1263.9393384885332
2024-09-26,999.183003309816,808.1526725793555,1920.8724482797738,999.183003309816,999.183003309816,344.8017407319937,344.8017407319937,344.8017407319937,91.61504472959999,91.61504472959999,91.61504472959999,-5.7517246220720555,-5.7517246220720555,-5.7517246220720555,258.93842062446566,258.93842062446566,258.93842062446566,0.0,0.0,0.0,1343.9847440418096
2024-09-27,1000.1775682341996,767.9117274385485,1917.5679994217383,1000.1775682341996,1000.1775682341996,364.92173758214807,364.92173758214807,364.92173758214807,91.61504472959999,91.61504472959999,91.61504472959999,28.045595736370164,28.045595736370164,28.045595736370164,245.26109711617792,245.26109711617792,245.26109711617792,0.0,0.0,0.0,1365.0993058163476
2024-09-28,1001.1721331585832,681.1256440313966,1809.9233104442221,1001.1721331585832,1001.1721331585832,274.6656384830019,274.6656384830019,274.6656384830019,91.61504472959999,91.61504472959999,91.61504472959999,-52.23305297246158,-52.23305297246158,-52.23305297246158,235.28364672586343,235.28364672586343,235.28364672586343,0.0,0.0,0.0,1275.837771641585
2024-09-29,1002.1666981618922,888.8404969946378,2059.6105791919263,1002.1666981618922,1002.1666981618922,478.50977045026167,478.50977045026167,478.50977045026167,91.61504472959999,91.61504472959999,91.61504472959999,157.9899576766649,157.9899576766649,157.9899576766649,228.90476804399694,228.90476804399694,228.90476804399694,0.0,0.0,0.0,1480.676468612154
2024-09-30,1003.1612631652013,706.4581425362936,1888.1444556566325,1003.1612631652013,1003.1612631652013,315.61111130276834,315.61111130276834,315.61111130276834,91.61504472959999,91.61504472959999,91.61504472959999,-1.9207621636978618,-1.9207621636978618,-1.9207621636978618,225.91682873686625,225.91682873686625,225.91682873686625,0.0,0.0,0.0,1318.7723744679697
2024-10-01,1004.1558281685101,679.8975036637908,1891.1073440940402,1004.1558281685101,1004.1558281685101,293.6685391764814,293.6685391764814,293.6685391764814,91.61504472959999,91.61504472959999,91.61504472959999,-23.955784100904793,-23.955784100904793,-23.955784100904793,226.00927854778615,226.00927854778615,226.00927854778615,0.0,0.0,0.0,1297.8243673449915
2024-10-02,1005.1503931718191,668.2396499052238,1806.1278565575283,1005.1503931718191,1005.1503931718191,218.21578021285828,218.21578021285828,218.21578021285828,91.61504472959999,91.61504472959999,91.61504472959999,-102.17422955408776,-102.17422955408776,-102.17422955408776,228.77496503734605,228.77496503734605,228.77496503734605,0.0,0.0,0.0,1223.3661733846775
2024-10-03,1006.1449581751281,746.7020954597642,1890.4148196809842,1006.1449581751281,1006.1449581751281,319.5825809065489,319.5825809065489,319.5825809065489,91.61504472959999,91.61504472959999,91.61504472959999,-5.751724621663046,-5.751724621663046,-5.751724621663046,233.71926079861205,233.71926079861205,233.71926079861205,0.0,0.0,0.0,1325.727539081677
2024-10-04,1007.139523178437,810.0047670691284,1947.5359489309758,1007.139523178437,1007.139523178437,359.93246811474,359.93246811474,359.93246811474,91.61504472959999,91.61504472959999,91.61504472959999,28.045595736571272,28.045595736571272,28.045595736571272,240.27182764856877,240.27182764856877,240.27182764856877,0.0,0.0,0.0,1367.071991293177
2024-10-05,1008.1340881817459,717.6777880381649,1876.990408706887,1008.1340881817459,1008.1340881817459,287.1827549039935,287.1827549039935,287.1827549039935,91.61504472959999,91.61504472959999,91.61504472959999,-52.23305297220302,-52.23305297220302,-52.23305297220302,247.80076314659647,247.80076314659647,247.80076314659647,0.0,0.0,0.0,1295.3168430857395
2024-10-06,1009.128653185055,981.8131127019146,2061.9380441559942,1009.128653185055,1009.128653185055,505.2338025605828,505.2338025605828,505.2338025605828,91.61504472959999,91.61504472959999,91.61504472959999,157.98995767665977,157.98995767665977,157.98995767665977,255.6288001543232,255.6288001543232,255.6288001543232,0.0,0.0,0.0,1514.3624557456378
2024-10-07,1010.1232181883638,827.6286139448372,1958.0211815215362,1010.1232181883638,1010.1232181883638,352.74544591518344,352.74544591518344,352.74544591518344,91.61504472959999,91.61504472959999,91.61504472959999,-1.9207621635995518,-1.9207621635995518,-1.9207621635995518,263.05116334918296,263.05116334918296,263.05116334918296,0.0,0.0,0.0,1362.8686641035472
2024-10-08,1011.1177831916729,780.6183919771685,1905.693480142226,1011.1177831916729,1011.1177831916729,337.01389039193816,337.01389039193816,337.01389039193816,91.61504472959999,91.61504472959999,91.61504472959999,-23.95578410105394,-23.95578410105394,-23.95578410105394,269.3546297633921,269.3546297633921,269.3546297633921,0.0,0.0,0.0,1348.131673583611
2024-10-09,1012.1123481949819,689.5785219593411,1890.9176861121746,1012.1123481949819,1012.1123481949819,263.2781105934584,263.2781105934584,263.2781105934584,91.61504472959999,91.61504472959999,91.61504472959999,-102.17422955423052,-102.17422955423052,-102.17422955423052,273.83729541808884,273.83729541808884,273.83729541808884,0.0,0.0,0.0,1275.3904587884404
2024-10-10,1013.1069131982908,786.2076475183242,1933.0039589344256,1013.1069131982908,1013.1069131982908,361.69183860495656,361.69183860495656,361.69183860495656,91.61504472959999,91.61504472959999,91.61504472959999,-5.751724621741557,-5.751724621741557,-5.751724621741557,275.8285184970981,275.8285184970981,275.8285184970981,0.0,0.0,0.0,1374.7987518032473
2024-10-11,1014.1014782250797,849.0093399810489,2009.7151052915528,1014.1014782250797,1014.1014782250797,394.36913291464475,394.36913291464475,394.36913291464475,91.61504472959999,91.61504472959999,91.61504472959999,28.045595736223394,28.045595736223394,28.045595736223394,274.7084924488214,274.7084924488214,274.7084924488214,0.0,0.0,0.0,1408.4706111397245
