"customer_id","product_id","product_variant_sku","product_title","product_variant_id","products_bought_together_ids","products_bought_together_titles","order_id","order_day","orders","gross_sales","net_sales","total_sales"
"7043933634783","4448677003341","Wip15oz","Toilet Paper Gel","39303493124173","[4448677003341]","['Toilet Paper Gel']","5781799764191","2024-09-13",1,"12.8","12.8","12.8"
"7561691398367","4343002431565","WipStarterBlu","Starter Set","32996777099341","[4343002431565]","['Starter Set']","5781198504159","2024-09-13",1,"23","18.4","18.4"
"7152703275231","4448677003341","Wip25oz","Toilet Paper Gel","39303493156941","[4448677003341]","['Fresh Peaches Wet Wipe Gel 20.00% Off Auto renew']","5781051277535","2024-09-13",1,"24","24","24"
"7594700374239","4343002431565","WipStarterBlu","Starter Set","32996777099341","[4343002431565]","['Starter Set']","6073281937631","2025-04-17",1,"23","19.55","19.55"
"7561944072415","7728232333535",NULL,"Happy Peaches Bundle","43070028480735","[7728232333535,8667880849631]","['Happy Peaches Bundle','Pocket Kit']","5781429321951","2024-09-13",1,"43","34.4","34.4"
"7525524472031","4343002431565","WipStarterBlu","Starter Set","32996777099341","[4343002431565]","['Starter Set']","5782118269151","2024-09-13",1,"23","18.4","18.4"
"7274442064095","4448677003341","Wip15oz","Toilet Paper Gel","39303493124173","[4448677003341,8667880849631,8756124614879]","['Toilet Paper Gel','Pocket Kit','Feminine Wipe Gel']","5782276178143","2024-09-13",1,"16","16","16"
"7562223878367","8393368961247",NULL,"Bottle Hanger - Matte Grey","45095717208287","[4343002431565,8393368961247,8667880849631]","['Starter Set','Bottle Hanger - Matte Grey','Pocket Kit']","5781754249439","2024-09-13",1,"4","4","4"
"7562165387487","4448677003341","Wip15oz","Toilet Paper Gel","39303493124173","[4448677003341]","['Toilet Paper Gel']","5781655879903","2024-09-13",1,"12.8","12.8","12.8"
"7562223878367","4343002431565","WipStarterBlu","Starter Set","32996777099341","[4343002431565,8393368961247,8667880849631]","['Starter Set','Bottle Hanger - Matte Grey','Pocket Kit']","5781754249439","2024-09-13",1,"46","46","46"
"7562717233375","8393368961247",NULL,"Bottle Hanger - Matte Grey","45095717208287","[8393368961247,8667880849631,8727325376735]","['Bottle Hanger - Matte Grey','Pocket Kit','Feminine Wipe Gel - Starter Set']","5782179971295","2024-09-13",1,"4","4","4"
"6850686484703","4448677003341","Wip15oz","Toilet Paper Gel","39303493124173","[4448677003341]","['Toilet Paper Gel']","5781051343071","2024-09-13",1,"14.4","14.4","14.4"
"7274442064095","8756124614879",NULL,"Feminine Wipe Gel","46189021790431","[4448677003341,8667880849631,8756124614879]","['Toilet Paper Gel','Pocket Kit','Feminine Wipe Gel']","5782276178143","2024-09-13",1,"16","16","16"
"7552022053087","8393368961247",NULL,"Bottle Hanger - Matte Grey","45095717208287","[4343002431565,8393368961247,8667880849631]","['Starter Set','Bottle Hanger - Matte Grey','Pocket Kit']","5782214967519","2024-09-13",1,"4","4","4"
"7561641918687","4343002431565","WipStarterBlu","Starter Set","32996777099341","[4343002431565,4448677003341,8667880849631]","['Starter Set','Toilet Paper Gel','Pocket Kit']","5781157773535","2024-09-13",1,"23","18.4","18.4"
"7562435231967","4343002431565","WipStarterBlu","Starter Set","32996777099341","[4343002431565]","['Starter Set']","5781941879007","2024-09-13",1,"23","18.4","18.4"
"7562183475423","4343002431565","WipStarterBlu","Starter Set","32996777099341","[4343002431565]","['Starter Set']","5781682553055","2024-09-13",1,"23","18.4","18.4"
"7562453516511","4343002431565",NULL,"Starter Set","32996777132109","[4343002431565]","['Starter Set']","5781949546719","2024-09-13",1,"23","18.4","20.03"
"7561623077087","4343002431565",NULL,"Starter Set","32996777132109","[4343002431565]","['Starter Set']","5781142470879","2024-09-13",1,"23","23","23"
"7562021404895","4343002431565",NULL,"Starter Set","32996777132109","[4343002431565]","['Starter Set']","5781504590047","2024-09-13",1,"23","18.4","18.4"
"7562156572895","4343002431565",NULL,"Starter Set","32996777132109","[4343002431565]","['Starter Set']","5781644837087","2024-09-13",1,"23","23","23"
"7562291085535","4448677003341","Wip15oz","Toilet Paper Gel","39303493124173","[4448677003341]","['Toilet Paper Gel']","5781818179807","2024-09-13",1,"16","12.8","12.8"
"7552022053087","4343002431565","WipStarterBlu","Starter Set","32996777099341","[4343002431565,8393368961247,8667880849631]","['Starter Set','Bottle Hanger - Matte Grey','Pocket Kit']","5782214967519","2024-09-13",1,"23","23","23"
"7562721099999","4343002431565",NULL,"Starter Set","32996777132109","[4343002431565]","['Starter Set']","5782184657119","2024-09-13",1,"23","18.4","18.4"
